ISBN 13,Title of the Book,Author/s,Book type,Original Price (RRP)($),Discounted price($),ISBN-10,Published Date,Publisher,No. of Pages
9780547249643,1984,George Orwell,ePUB,9.99,,547249640,2013-09-03,HarperCollins,
9780544187610,The Paleo Diet Revised,Loren Cordain,ePUB,29.69,23.9919%OFF,054418761X,2024-02-27,HarperCollins,288
9780230768130,book not found,,,,,,,,
9780330473323,book not found,,,,,,,,
9780307792419,Caves of Steel,Isaac Asimov,ePUB,13.19,10.9917%OFF,307792412,2011-04-13,Random House Publishing Group,
9781405909969,Billy and Me,Giovanna Fletcher,ePUB,15.99,,140590996X,2013-05-23,Penguin Books Ltd,416
9780830844135,John,Michael Card,Paperback,37.07,,830844139,2014-07-14,InterVarsity Press,240
9781387629923,book not found,,,,,,,,
9781407035284,Thief Of Time,Terry Pratchett,ePUB,15.99,,1407035282,2008-10-09,Transworld,432
9781405912990,On Dublin Street,Samantha Young,ePUB,15.99,,1405912995,2012-10-25,Penguin Books Ltd,416
9780842313940,book not found,,,,,,,,
9780842384896,book not found,,,,,,,,
9780307414144,book not found,,,,,,,,
9780992984915,Dominic,L.A. Casey,ePUB,4.99,,992984912,2016-03-13,?L.A. Casey,
9780575091511,Before They Are Hanged : First Law,Joe Abercrombie,ePUB,12.99,,575091517,18th June 2009,Orion,592
9780141935386,Be As You Are,David Godman,ePUB,14.99,,141935383,1st January 2000,Penguin Books Ltd,272
9780241146422,book not found,,,,,,,,
9780755374076,book not found,,,,,,,,
9781407034737,Moving Pictures,Terry Pratchett,ePUB,15.99,,1407034731,2009-05-27,Transworld,400
9780768403053,book not found,,,,,,,,
9781405914970,Pop Goes the Weasel,M. J. Arlidge,ePUB,15.99,,1405914971,2014-09-11,Penguin Books Ltd,464
9780765377081,The Dark Forest,Cixin Liu,Hardcover,67.35,,076537708X,11th August 2015,Tor Books,512
9780141903989,Giovanni's Room,James Baldwin,ePUB,15.99,,141903988,2001-10-04,Penguin Books Ltd,176
9781311796653,book not found,,,,,,,,
9780141909417,book not found,,,,,,,,
9781407070742,A Mistletoe Kiss,Katie Flynn,ePUB,15.99,,1407070746,5th August 2010,Random House,448
9780141923680,book not found,,,,,,,,
9780141928982,Hornblower and the Crisis,C.S. Forester,ePUB,15.99,,141928980,2006-10-05,Penguin Books Ltd,176
9780141926100,Stalingrad,Antony Beevor,ePUB,15.99,,141926104,2007-10-04,Penguin Books Ltd,512
9781407034966,Interesting Times,Terry Pratchett,ePUB,14.99,,1407034960,2008-12-05,Transworld,432
9780141905693,The Diary of a Nobody,George Grossmith,ePUB,10.99,,141905697,2000-01-01,Penguin Books Ltd,256
9781250303554,Permafrost,Alastair Reynolds,ePUB,6.22,5.99,1250303559,2019-03-19,Tor Publishing Group,
9781405923590,The Woman Who Walked into the Sea,Mark Douglas-Home,ePUB,15.99,,1405923598,2016-01-14,Penguin Books Ltd,336
9781408820858,Kitchen Confidential,Anthony Bourdain,ePUB,19.99,17.9910%OFF,1408820854,20th December 2010,Bloomsbury Publishing,336
9780463208823,book not found,,,,,,,,
9780748122868,The Enemy,Tom Wood,ePUB,16.99,,748122869,2012-03-13,"Little, Brown Book Group",400
9780141929569,A Wrinkle in Time,Madeleine L'Engle,ePUB,9.99,,141929561,1st November 2007,Penguin Random House Children's UK,208
9780571328277,The Legend of Podkin One-Ear,Kieran Larwood,ePUB,10.99,9.99,057132827X,4th October 2016,Faber & Faber,288
9780141347738,book not found,,,,,,,,
9780141933412,A Spell of Winter,Helen Dunmore,ePUB,15.99,,141933410,2007-10-25,Penguin Books Ltd,320
9780385539265,book not found,,,,,,,,
9781407034690,Guards! Guards!,Terry Pratchett,ePUB,14.99,,1407034693,2008-12-16,Transworld,432
9780241322536,Smiley's People,John le Carré,ePUB,15.99,,241322537,2018-09-27,Penguin Books Ltd,464
9780759520844,Healing Back Pain,John E. Sarno,ePUB,12.99,,759520844,2001-03-15,Grand Central Publishing,300
9780141369709,Jolly Foul Play,Robin Stevens,ePUB,9.99,,141369701,2016-03-24,Penguin Random House Children's UK,336
9780857203090,One by One,Chris Carter,ePUB,4.99,,857203096,15th August 2013,Simon & Schuster UK,512
9780761187042,The Complete Book of Chalk Lettering,Valerie McKeehan,ePUB,23.99,,761187049,2015-10-06,Workman Publishing Company,144
9781405523127,Cross and Burn,Val McDermid,ePUB,11.99,,1405523123,2013-10-10,"Little, Brown Book Group",448
9781405943147,book not found,,,,,,,,
9780834821033,book not found,,,,,,,,
9780307416315,book not found,,,,,,,,
9781409021315,Lustrum,Robert Harris,ePUB,15.99,,1409021319,2010-09-07,Random House,464
9780748129027,What's Tha Up To?,Martyn Johnson,ePUB,12.99,,748129022,2011-09-15,"Little, Brown Book Group",192
9780141969183,Me Before You,Jojo Moyes,ePUB,15.99,,141969180,2nd January 2012,Penguin Books Ltd,528
9780748110612,book not found,,,,,,,,
9780230757073,book not found,,,,,,,,
9780698198586,book not found,,,,,,,,
9780748112883,Princeps' Fury,Jim Butcher,ePUB,11.99,,074811288X,2009-12-03,"Little, Brown Book Group",512
9781310928338,Pathfinder's Way,T.A. White,ePUB,4.15,,1310928339,2016-04-20,T.A. White,
9780765376732,book not found,,,,,,,,
9780994865137,book not found,,,,,,,,
9780743273565,The Great Gatsby,F. Scott Fitzgerald,Paperback,34.25,,743273567,2004-10-01,SCRIBNER BOOKS CO,180
9780061739255,book not found,,,,,,,,
9780061804038,Barbarians at the Gate,Bryan Burrough,ePUB,6.99,,61804037,2009-10-13,HarperCollins,624
9781407070049,Bones to Ashes,Kathy Reichs,ePUB,15.99,,1407070045,2010-04-27,Random House,464
9780547345901,The Giver,Lois Lowry,ePUB,5.99,,547345909,2000-01-01,HarperCollins,192
9781282547674,Allotment Gardening for Dummies,Sven Wombwell,E-Book,,,1282547674,12th February 2010,For Dummies,459
9781328662088,book not found,,,,,,,,
9780241383117,Bad Behavior,Mary Gaitskill,ePUB,15.99,,241383110,2nd May 2019,Penguin Books Ltd,208
9780446179669,book not found,,,,,,,,
9781393267447,Summernight,Sarah K. L. Wilson,ePUB,,,1393267440,27th August 2019,?Sarah K. L. Wilson,
9780060882662,book not found,,,,,,,,
9780349401874,Air Bound,Christine Feehan,ePUB,7.99,,034940187X,27th May 2014,"Little, Brown Book Group",400
9780230761230,book not found,,,,,,,,
9780241977613,book not found,,,,,,,,
9780241984000,The Last,Hanna Jameson,ePUB,15.99,,241984009,2019-01-24,Penguin Books Ltd,352
9780755387069,book not found,,,,,,,,
9780755385744,The Misfit,Rosie Goodwin,ePUB,11.99,,755385748,2012-05-10,Headline,313
9781101533116,The Bride,Julie Garwood,ePUB,17.14,13.9918%OFF,1101533110,2011-06-07,Penguin Publishing Group,1
9780007327645,"Dead Beat (PI Kate Brannigan, Book 1)",Val McDermid,ePUB,12.99,,7327641,2009-05-22,HarperCollins Publishers,288
9780648324652,Demon's Dance,Keri Arthur,ePUB,6.99,,648324656,2019-02-12,KA Publishing PTY LTD,
9780230739161,book not found,,,,,,,,
9781509865437,book not found,,,,,,,,
9780141904108,Mrs Dalloway,Virginia Woolf,ePUB,10.99,,141904100,2000-05-25,Penguin Books Ltd,288
9780141957074,The End,Ian Kershaw,ePUB,16.99,,141957077,25th August 2011,Penguin Books Ltd,592
9781405519229,The Casual Vacancy,J.K. Rowling,ePUB,12.99,,1405519223,2012-09-27,"Little, Brown Book Group",480
9780230760653,book not found,,,,,,,,
9780356500959,Cold Days,Jim Butcher,Paperback,32.5,,356500950,2013-09-10,Little Brown,646
9780748124800,book not found,,,,,,,,
9780755371365,Whatever It Takes,Adele Parks,ePUB,12.99,,755371364,2012-06-21,Headline,377
9780007338672,Sharpe's Gold,Bernard Cornwell,ePUB,12.99,,7338678,2009-07-24,HarperCollins Publishers,304
9780141959238,The Ship,C.S. Forester,ePUB,15.99,,141959231,2006-10-05,Penguin Books Ltd,256
9780755373260,Silent Scream (The Minneapolis Series Book 2),Karen Rose,ePUB,11.99,,075537326X,2010-05-13,Headline,544
9781301917099,book not found,,,,,,,,
9780691189970,book not found,,,,,,,,
9780755384808,The Book of Life,Deborah Harkness,ePUB,12.99,,755384806,2014-07-15,Headline,592
9781405909914,book not found,,,,,,,,
9780571323777,Grief Is the Thing with Feathers,Max Porter,ePUB,14.29,12.99,571323774,15th September 2015,Faber & Faber,96
9780761168935,book not found,,,,,,,,
9781250229786,Silver in the Wood,Emily Tesh,ePUB,6.22,5.99,1250229782,18th June 2019,Tor Publishing Group,
9780307414311,book not found,,,,,,,,
9780804179041,book not found,,,,,,,,
9780241398333,A Short History of Brexit,Kevin O'Rourke,ePUB,15.99,,241398339,2019-01-31,Penguin Books Ltd,320
9780007329052,Wedding Tiers,Trisha Ashley,ePUB,8.99,,7329059,2009-05-29,HarperCollins Publishers,416
9780241321942,Absolute Friends,John le Carré,ePUB,15.99,,241321948,2018-09-27,Penguin Books Ltd,464
9780575087491,Blood of Elves,Andrzej Sapkowski,ePUB,12.99,,575087498,19th August 2010,Orion,320
9781405519946,Promise of Blood,Brian McClellan,ePUB,11.99,,1405519940,2013-04-16,"Little, Brown Book Group",608
9780648264873,Keeping Up Appearances,Elizabeth Stevens,ePUB,,,648264874,1st June 2018,Sleeping Dragon Books,500
9780141938264,A Dark-Adapted Eye,Barbara Vine,ePUB,15.99,,141938269,2009-05-07,Penguin Books Ltd,304
9780316230209,book not found,,,,,,,,
9780141952000,book not found,,,,,,,,
9781310157202,book not found,,,,,,,,
9781405944038,book not found,,,,,,,,
9780575122796,Dune: The Gateway Collection,Frank Herbert,ePUB,59.99,,057512279X,2012-11-30,Orion,800
9780751555752,book not found,,,,,,,,
9780356509303,book not found,,,,,,,,
9780544465619,Curious George Haunted Halloween,H. A. Rey,ePUB,2.99,,054446561X,2014-06-17,HarperCollins,24
9780241404300,Don't Be Evil,Rana Foroohar,ePUB,16.99,,241404304,2019-11-07,Penguin Books Ltd,256
9780752876788,Dreamer,Peter James,Paperback,,,752876783,1st August 2005,Orion,384
9780547769332,The Goodnight Train,June Sobel,ePUB,11.99,,547769334,2006-09-01,HarperCollins,32
9781393148548,Bullied,Vera Hollins,ePUB,4.29,,1393148549,27th August 2019,?Vera Hollins,
9780241961544,book not found,,,,,,,,
9780571338764,Milkman,Anna Burns,ePUB,16.49,14.99,571338763,2018-05-15,Faber & Faber,352
9780141910048,The Rotters' Club,Jonathan Coe,ePUB,15.99,,141910046,2008-05-28,Penguin Books Ltd,416
9781841498959,Surface Detail,Iain M Banks,Paperback,22.99,20.3511%OFF,1841498955,2011-05-31,Little Brown,640
9780241382929,book not found,,,,,,,,
9780241981320,Middle England,Jonathan Coe,ePUB,15.99,,241981328,8th November 2018,Penguin Books Ltd,368
9780241283936,book not found,,,,,,,,
9780141972244,Call for the Dead,John le Carré,ePUB,15.99,,141972246,2011-11-03,Penguin Books Ltd,160
9780230754737,book not found,,,,,,,,
9781101623695,book not found,,,,,,,,
9780748122981,Abaddon's Gate,James S. A. Corey,ePUB,12.99,,748122982,2013-06-04,"Little, Brown Book Group",560
9780141969190,The Girl You Left Behind,Jojo Moyes,ePUB,15.99,,141969199,27th September 2012,Penguin Books Ltd,544
9780230743847,book not found,,,,,,,,
9780753545195,The Volunteer,Jack Fairweather,ePUB,18.99,,753545195,2019-06-27,Ebury Publishing,528
9780330513173,book not found,,,,,,,,
9780857207296,book not found,,,,,,,,
9780307796103,book not found,,,,,,,,
9780141353975,Katy,Jacqueline Wilson,ePUB,9.99,,014135397X,2015-07-30,Penguin Random House Children's UK,320
9780230770096,book not found,,,,,,,,
9780857899767,False God of Rome,Robert Fabbri,ePUB,7.49,6.99,857899767,1st January 2013,Corvus,300
9781405917902,book not found,,,,,,,,
9781328561770,book not found,,,,,,,,
9780141963624,The Spy Who Came in from the Cold,John le Carré,ePUB,15.99,,014196362X,24th February 2011,Penguin Books Ltd,272
9780571336234,I Am Dynamite!,Sue Prideaux,ePUB,16.49,14.99,057133623X,2018-10-02,Faber & Faber,416
9780141925912,The Blank Slate,Steven Pinker,ePUB,18.99,,141925914,5th June 2003,Penguin Books Ltd,528
9780141347790,book not found,,,,,,,,
9780316436489,book not found,,,,,,,,
9781405921824,The Penguin Lessons,Tom Michell,ePUB,14.99,,140592182X,2015-11-05,Penguin Books Ltd,288
9780748125715,The Secret Diaries Of Miss Anne Lister: Vol. 1,Anne Lister,ePUB,12.99,,074812571X,2010-11-04,"Little, Brown Book Group",384
9780132100670,The Pragmatic Programmer,Andrew Hunt,PDF,,,132100673,20th October 1999,,352
9780241188828,The Value of Everything,Mariana Mazzucato,ePUB,15.99,,241188822,26th April 2018,Penguin Books Ltd,256
9781370239290,Endgame,Chloe Walsh,ePUB,7.59,,1370239297,2023-03-23,Chloe Walsh,
9781405929813,Christmas with the Bomb Girls,Daisy Styles,ePUB,15.99,,1405929812,2017-10-19,Penguin Books Ltd,400
9781301652815,book not found,,,,,,,,
9780814413470,book not found,,,,,,,,
9781101585658,book not found,,,,,,,,
9780297857020,book not found,,,,,,,,
9781310761898,book not found,,,,,,,,
9781101175293,The Art of Seduction,Robert Greene,ePUB,,,110117529X,7th October 2003,Penguin Publishing Group,
9780544553729,book not found,,,,,,,,
9780007320936,Child of the Phoenix,Barbara Erskine,ePUB,10.99,,7320930,2009-03-13,HarperCollins Publishers,944
9780804141116,book not found,,,,,,,,
9780230760615,book not found,,,,,,,,
9780385528849,Night Shift,Stephen King,ePUB,16.12,12.9919%OFF,385528841,2008-06-24,Knopf Doubleday Publishing Group,
9780938045878,The Naked Warrior,Pavel Tsatsouline,ePUB,14.66,13.99,938045873,1st December 2003,Dragon Door Publications,218
9781407068305,Out Of The Sun,Robert Goddard,ePUB,14.99,,140706830X,2010-03-30,Transworld,432
9780230768123,book not found,,,,,,,,
9780307490247,book not found,,,,,,,,
9780544562363,The Fully Raw Diet,Kristina Carrillo-Bucaram,ePUB,34.99,,544562364,2016-01-05,HarperCollins,272
9780316183208,book not found,,,,,,,,
9780241987803,State of the Union,Nick Hornby,ePUB,15.99,,241987806,2019-05-07,Penguin Books Ltd,140
9780141927138,The Far Pavilions,M M Kaye,ePUB,15.99,,141927135,1st January 2000,Penguin Books Ltd,960
9780755357222,The Blood Crows,Simon Scarrow,ePUB,11.99,,755357221,2013-10-24,Headline,448
9780943217123,The Tibetan Book of the Dead,Karma-glin-pa (Karma Lingpa),ePUB,4.39,,943217121,2010-09-13,Summum,
9780061947353,book not found,,,,,,,,
9781304378088,book not found,,,,,,,,
9780716022527,The Curry Secret,Kris Dhillon,ePUB,6.99,,716022524,2009-10-09,"Little, Brown Book Group",160
9780718186395,book not found,,,,,,,,
9780141365855,book not found,,,,,,,,
9780575104181,Steelheart,Brandon Sanderson,ePUB,11.99,,057510418X,2013-09-26,Orion,400
9780755399611,book not found,,,,,,,,
9780141930961,A Load of Old Tripe,Gervase Phinn,ePUB,14.99,,141930969,2009-11-05,Penguin Books Ltd,144
9780141185071,East of Eden,John Steinbeck,Paperback,22.99,20.3511%OFF,141185074,2003-10-01,Penguin UK,640
9780748109258,Black Notice,Patricia Cornwell,ePUB,11.99,,748109250,2008-09-04,"Little, Brown Book Group",480
9780698140325,A Grave Matter,Anna Lee Huber,ePUB,13.7,11.9912%OFF,069814032X,1st July 2014,Penguin Publishing Group,1
9781118968079,book not found,,,,,,,,
9780241396940,book not found,,,,,,,,
9780753546413,book not found,,,,,,,,
9780525520375,book not found,,,,,,,,
9781405937085,The Grey Ghost,Clive Cussler,ePUB,15.99,,1405937084,31st May 2018,Penguin Books Ltd,400
9781407039206,Deep Black,Andy McNab,ePUB,15.99,,1407039202,2008-10-02,Transworld,512
9780718186111,The Marriage Pact,Michelle Richmond,ePUB,15.99,,718186117,27th July 2017,Penguin Books Ltd,400
9780241283523,book not found,,,,,,,,
9780755375523,The Family,Martina Cole,ePUB,11.99,,755375521,2010-10-14,Headline,300
9780544444683,book not found,,,,,,,,
9780330514750,book not found,,,,,,,,
9780141353111,book not found,,,,,,,,
9780748116393,book not found,,,,,,,,
9781405525848,Ancillary Justice,Ann Leckie,ePUB,12.99,,1405525843,1st October 2013,"Little, Brown Book Group",432
9780241281130,book not found,,,,,,,,
9781405512008,Waylander,David Gemmell,ePUB,11.99,,1405512008,2011-12-01,"Little, Brown Book Group",384
9780141983493,Marx and Marxism,Gregory Claeys,ePUB,14.99,,141983493,2018-04-05,Penguin Books Ltd,256
9780141906003,Black Diamonds,Catherine Bailey,ePUB,15.99,,141906006,2008-03-06,Penguin Books Ltd,544
9780241355244,Frostheart,Jamie Littler,ePUB,9.99,,241355249,2019-10-03,Penguin Random House Children's UK,209
9780547370224,Animal Farm,George Orwell,ePUB,4.79,,547370229,2009-07-01,HarperCollins,
9780857896384,book not found,,,,,,,,
9781927100158,Winter of the Crystal Dances,Angela Dorsey,ePUB,0,,1927100151,2016-03-15,Enchanted Pony Books,
9780091816971,Who Moved My Cheese? ,Spencer Johnson,Paperback,19.99,18.25,91816971,1999-04-01,RANDOM HOUSE UK,96
9780230771437,book not found,,,,,,,,
9781407021010,Brave New World,Aldous Huxley,ePUB,15.99,,140702101X,2008-12-26,Random House,272
9780241957493,The Aftermath,Rhidian Brook,ePUB,15.99,,241957494,2013-05-02,Penguin Books Ltd,336
9780141956831,book not found,,,,,,,,
9780755351985,The One You Really Want,Jill Mansell,ePUB,11.99,,755351983,2008-02-10,Headline,300
9780141916231,book not found,,,,,,,,
9780743492621,book not found,,,,,,,,
9780755387298,The 6th Target,James Patterson,ePUB,12.99,,755387295,2011-04-28,Headline,338
9780748130825,Skin Game,Jim Butcher,ePUB,12.99,,748130829,2014-05-27,"Little, Brown Book Group",464
9781473563742,The Warehouse,Rob Hart,ePUB,15.99,,1473563747,13th August 2019,Transworld,368
9780241985441,The Missing Sister,Dinah Jefferies,ePUB,15.99,,241985447,2019-02-28,Penguin Books Ltd,400
9780241981115,Be More Pirate,Sam Conniff Allende,ePUB,15.99,,241981115,3rd May 2018,Penguin Books Ltd,320
9780786752164,Why Does E=mc2?,Brian Cox,ePUB,13.99,,786752165,14th July 2009,Hachette Books,264
9780785182979,Spider-Man,Dan Slott,ePUB,21.99,17.9918%OFF,785182977,2014-09-03,Marvel Entertainment,
9780575088498,Flowers For Algernon,Daniel Keyes,ePUB,9.99,,575088494,15th November 2012,Orion,224
9780525542506,book not found,,,,,,,,
9780141968582,Mrs Frisby and the Rats of NIMH,Robert C. O'Brien,ePUB,9.99,,141968583,2011-01-06,Penguin Random House Children's UK,256
9780241978504,First You Write a Sentence.,Joe Moran,ePUB,15.99,,241978505,2018-09-27,Penguin Books Ltd,256
9780307237811,Genghis Khan and the Making of the Modern World,Jack Weatherford,ePUB,25.7,20.9918%OFF,307237818,2005-03-22,Crown,
9780755385171,The Secret Life of Bees,Sue Monk Kidd,ePUB,12.99,,755385179,2011-02-03,Headline,225
9780141331584,book not found,,,,,,,,
9780316389716,Sword of Destiny,Andrzej Sapkowski,E-Book,,,316389714,19th May 2015,Orbit,352
9780446540421,Battlefield of the Mind,Joyce Meyer,ePUB,8.99,,446540420,2008-03-25,FaithWords,
9781405519236,book not found,,,,,,,,
9781405934169,Mythos,Stephen Fry,ePUB,15.99,,1405934166,2017-11-02,Penguin Books Ltd,400
9780241981412,book not found,,,,,,,,
9780230758025,book not found,,,,,,,,
9780349116846,book not found,,,,,,,,
9780141908359,Crime and Punishment,Fyodor Dostoyevsky,ePUB,10.99,,141908351,2003-01-30,Penguin Books Ltd,720
9780748128808,The Girl Who Fell From The Sky,Simon Mawer,ePUB,11.99,,748128808,3rd May 2012,"Little, Brown Book Group",320
9780755349296,4th of July,James Patterson,Paperback,22.99,20.3511%OFF,755349296,2009-09-01,Headline,448
9780241978825,book not found,,,,,,,,
9780141903187,Brideshead Revisited,Evelyn Waugh,ePUB,15.99,,014190318X,2012-07-26,Penguin Books Ltd,336
9780316221016,American Spring,Walter R. Borneman,ePUB,17.99,,316221015,2014-05-06,"Little, Brown and Company",480
9780316388696,book not found,,,,,,,,
9780871409508,The New Annotated Frankenstein (The Annotated Books),Mary Shelley,ePUB,54.95,43.9920%OFF,087140950X,8th August 2017,Liveright,416
9780755349388,book not found,,,,,,,,
9780994054418,book not found,,,,,,,,
9781401235413,book not found,,,,,,,,
9780140621297,book not found,,,,,,,,
9781283052948,book not found,,,,,,,,
9780307271464,book not found,,,,,,,,
9780748109296,book not found,,,,,,,,
9780307414151,book not found,,,,,,,,
9781405921527,book not found,,,,,,,,
9780755375608,book not found,,,,,,,,
9780755397860,The Last of Days,Paul Doherty,ePUB,11.99,,075539786X,6th June 2013,Headline,219
9780241335444,book not found,,,,,,,,
9781250166548,book not found,,,,,,,,
9780748133918,book not found,,,,,,,,
9781405928557,Out of the Dark,Gregg Hurwitz,ePUB,15.99,,1405928557,2019-02-07,Penguin Books Ltd,400
9781302013677,book not found,,,,,,,,
9780544973978,book not found,,,,,,,,
9781408806197,book not found,,,,,,,,
9780748131327,Steve Jobs,Walter Isaacson,ePUB,13.99,,748131329,2011-10-24,"Little, Brown Book Group",448
9780141966649,book not found,,,,,,,,
9780141905822,A Month in the Country,Penelope Fitzgerald,ePUB,15.99,,141905824,1st December 2011,Penguin Books Ltd,112
9780356507224,book not found,,,,,,,,
9780544369979,Cattle Kingdom,Christopher Knowlton,ePUB,37.39,29.9920%OFF,544369971,2024-02-27,HarperCollins,464
9781409021551,The Confession,John Grisham,ePUB,15.99,,1409021556,2010-11-09,Random House,464
9780230713741,A Prisoner of Birth,Jeffrey Archer,ePUB,,,230713742,4th September 2008,,400
9780007350865,book not found,,,,,,,,
9780994054401,book not found,,,,,,,,
9780241304297,book not found,,,,,,,,
9780753555200,book not found,,,,,,,,
9781405525671,Christmas at Rosie Hopkins' Sweetshop,Jenny Colgan,ePUB,12.99,,1405525673,2013-11-07,"Little, Brown Book Group",432
9781405937528,book not found,,,,,,,,
9780141937342,The Moon's a Balloon,David Niven,ePUB,15.99,,141937343,2005-04-28,Penguin Books Ltd,336
9780297867319,"Where'd You Go, Bernadette",Maria Semple,ePUB,11.99,,297867318,2012-06-07,Orion,304
9781101604045,The Diet Cure,Julia Ross,ePUB,25.7,20.9918%OFF,1101604042,2012-05-02,Penguin Publishing Group,
9780749954215,book not found,,,,,,,,
9781405928281,book not found,,,,,,,,
9781101543771,book not found,,,,,,,,
9780748113378,book not found,,,,,,,,
9780141967448,The Secret Pilgrim,John le Carré,ePUB,15.99,,141967447,2011-05-26,Penguin Books Ltd,416
9780141900834,Queen Camilla,Sue Townsend,ePUB,15.99,,141900830,2007-09-06,Penguin Books Ltd,464
9780307982773,Big Frank's Fire Truck,Leslie McGuire,ePUB,8.79,7.99,307982777,27th August 2014,Random House Children's Books,
9780307430861,book not found,,,,,,,,
9781407024776,book not found,,,,,,,,
9780748129089,Dark Lover,J. R. Ward,ePUB,11.99,,748129081,2011-02-03,"Little, Brown Book Group",480
9780785178262,X-Men,Chris Claremont,ePUB,19.06,15.9916%OFF,785178260,2014-11-05,Marvel Entertainment,
9780141911113,book not found,,,,,,,,
9780718186494,Darien,C. F. Iggulden,ePUB,15.99,,718186494,2017-07-13,Penguin Books Ltd,352
9780141930015,book not found,,,,,,,,
9780755387359,Violets are Blue,James Patterson,ePUB,12.99,,075538735X,2011-06-23,Headline,335
9780743499965,book not found,,,,,,,,
9780356512280,book not found,,,,,,,,
9781306358422,book not found,,,,,,,,
9780857077295,book not found,,,,,,,,
9780141923505,East of Eden,David Wyatt,ePUB,15.99,,141923504,2000-09-07,Penguin Books Ltd,640
9780241976579,book not found,,,,,,,,
9781250185464,Exit Strategy,Martha Wells,ePUB,19.5,15.9918%OFF,1250185467,2018-10-02,Tor Publishing Group,
9781306072465,Privateer's Revenge,Julian Stockwin,E-Book,,,1306072468,1st January 2008,McBooks Press,325
9780755352449,book not found,,,,,,,,
9780393347777,book not found,,,,,,,,
9780141350684,book not found,,,,,,,,
9780230767539,book not found,,,,,,,,
9780395657867,book not found,,,,,,,,
9780755352012,book not found,,,,,,,,
9780307796189,book not found,,,,,,,,
9781370483051,Mist's Edge,T.A. White,ePUB,5.48,,1370483058,2017-11-28,T.A. White,
9780753553084,The 7 Second CV,James Reed,ePUB,18.99,,753553082,2019-01-03,Ebury Publishing,208
9780141388786,book not found,,,,,,,,
9780297860242,book not found,,,,,,,,
9781306020725,book not found,,,,,,,,
9780297868385,book not found,,,,,,,,
9781370211678,book not found,,,,,,,,
9780297855873,Dark Places,Gillian Flynn,ePUB,12.99,11.99,297855875,2009-05-14,Orion,368
9780857388926,book not found,,,,,,,,
9781105795985,book not found,,,,,,,,
9781405935616,book not found,,,,,,,,
9781405938259,"Once, Twice, Three Times an Aisling",Emer McLysaght,ePUB,15.99,,1405938250,2019-09-19,Penguin Books Ltd,416
9780141924434,Revenge of the Middle-Aged Woman,Elizabeth Buchan,ePUB,15.99,,141924438,2nd August 2007,Penguin Books Ltd,384
9780141909776,This Charming Man,Marian Keyes,ePUB,15.99,,141909773,2008-04-30,Penguin Books Ltd,912
9780141397030,book not found,,,,,,,,
9780230763043,book not found,,,,,,,,
9780241958735,Kingdom of Fear,Hunter S Thompson,ePUB,15.99,,241958733,2011-11-24,Penguin Books Ltd,384
9780755396511,The Other Daughter,Lisa Gardner,Paperback,24.99,23.75,755396510,2012-11-13,Headline,416
9780141914527,Letters from a Stoic,Seneca,ePUB,10.99,,141914521,26th August 2004,Penguin Books Ltd,256
9780748112586,The Way Of Shadows,Brent Weeks,ePUB,11.99,,748112588,2009-06-11,"Little, Brown Book Group",688
9780768442830,Seeing Behind the Veil,Ana Werner,Paperback,43.82,,768442834,2018-09-18,DESTINY IMAGE INC,240
9780230761223,book not found,,,,,,,,
9780575088238,The Republic of Thieves,Scott Lynch,ePUB,12.99,,575088230,2013-10-10,Orion,880
9781408851234,The Sixth Extinction,Elizabeth Kolbert,ePUB,15.99,13.9913%OFF,1408851237,2014-02-13,Bloomsbury Publishing,336
9780755387144,Four Blind Mice,James Patterson,ePUB,12.99,,755387147,23rd June 2011,Headline,330
9780399182112,Wanderers,Chuck Wendig,ePUB,23.99,19.9917%OFF,039918211X,2019-07-02,Random House Worlds,
9780316262330,book not found,,,,,,,,
9780330513142,book not found,,,,,,,,
9780330473033,book not found,,,,,,,,
9780141960654,book not found,,,,,,,,
9780061981746,A Lion Among Men,Gregory Maguire,ePUB,10.99,,61981745,2009-10-06,HarperCollins,400
9780749020552,Peace Comes to Honeyfield,Anna Jacobs,Paperback,29.75,,749020555,1st May 2019,Faber Factory,352
9781405529631,book not found,,,,,,,,
9780748121762,Glory in Death,J.D. Robb,ePUB,11.99,,748121765,7th October 2010,"Little, Brown Book Group",336
9780141190693,book not found,,,,,,,,
9781407056982,Anatomy Of The Spirit,Caroline Myss,ePUB,,,1407056980,26th January 2010,Random House,320
9780241979723,book not found,,,,,,,,
9780857868770,The Humans,Matt Haig,ePUB,21.08,16.9919%OFF,857868772,2013-05-09,Canongate Books,304
9781408841068,Close Call,Stella Rimington,ePUB,17.58,14.9915%OFF,1408841061,2014-07-03,Bloomsbury Publishing,352
9780785160069,book not found,,,,,,,,
9781365014925,book not found,,,,,,,,
9781448151523,book not found,,,,,,,,
9781407070711,book not found,,,,,,,,
9781407010953,Kill Your Friends,John Niven,ePUB,15.99,,1407010956,2008-12-16,Random House,336
9780857056443,book not found,,,,,,,,
9781407070216,book not found,,,,,,,,
9781405512176,Fred & Rose,Howard Sounes,ePUB,11.99,,1405512172,2011-09-05,"Little, Brown Book Group",384
9780857202970,The Night Stalker,Chris Carter,Paperback,22.99,20.4011%OFF,857202979,2012-03-01,Simon & Schuster UK,464
9780544759213,book not found,,,,,,,,
9780141906430,Regeneration,Pat Barker,ePUB,15.99,,014190643X,1st May 2008,Penguin Books Ltd,256
9780544245587,book not found,,,,,,,,
